	subj	subj_qid	subj_fid	rel_id	rel	rel_schema	obj	obj_qid	obj_fid
88	Felix Sabates	Q5442322		P27	country of citizenship	nationality	Earnhardt Ganassi Racing	Q744571	/m/09gdxd7
89	Grit Lehmann	Q121419		P27	country of citizenship	nationality	Berlin	Q20144232	
90	Saskatchewan River	Q3047	/m/01kqs0	P131	located in the administrative territorial entity		Montreal	Q3476697	
91	Bud Cummins	Q4983822		P69	educated at		Arkansas	Q4791721	
92	Timothy Griffin	Q2435200	/m/02q0d3q	P69	educated at		White House	Q2566904	
93	Loop	Q70626	/m/0gz469	P131	located in the administrative territorial entity		Loop	Q70626	/m/0gz469
94	West Town	Q7986688		P131	located in the administrative territorial entity		Humboldt Park	Q3143236	
95	Azman Adnan	Q3631548		P54	member of sports team		Negeri Sembilan	Q213893	/m/0211kz
96	Selangor	Q189710	/m/01jc9d	P47	shares border with		Pedas	Q7159011	
97	Henry IV	Q936976	/m/0fw6r	P27	country of citizenship	nationality	Freiburg	Q12640	/m/01qtgw
98	Henry IV	Q936976	/m/0fw6r	P19	place of birth	birthPlace	Freiburg	Q12640	/m/01qtgw
99	Freiburg	Q12640	/m/01qtgw	P47	shares border with		Black Forest	Q4920780	
100	Sztum County	Q1341082	/m/0fbq9c	P47	shares border with		Poland	Q7208881	
101	Sztum County	Q1341082	/m/0fbq9c	P150	contains administrative territorial entity		Poland	Q7208881	
102	Reggio Calabria	Q8471	/m/0c7h7	P47	shares border with		Calabria	Q1458	/m/0c61p
103	Livermore	Q5558066		P131	located in the administrative territorial entity		Dublin	Q1761	/m/02cft
104	El Cerrito	Q2878820		P131	located in the administrative territorial entity		Oakland	Q16740025	
105	Ventura County	Q108127	/m/0l38x	P47	shares border with		Port Hueneme	Q983853	/m/0r8b3
106	Balangero	Q9017	/m/0g6s60	P131	located in the administrative territorial entity		Turin	Q7854947	
107	Balangero	Q9017	/m/0g6s60	P47	shares border with		Turin	Q7854947	
108	Olesno County	Q462006	/m/0gzvbl	P47	shares border with		Poland	Q7208881	
109	Olesno County	Q462006	/m/0gzvbl	P150	contains administrative territorial entity		Poland	Q7208881	
110	Oberhavel	Q6119	/m/015hkh	P47	shares border with		Brandenburg	Q18966623	
111	Oxford University Press	Q217595	/m/0czzl	P17	country		Nairobi	Q3870	/m/05d49
112	Anthony Powell	Q573813	/m/01dthv	P69	educated at		Time	Q493981	/m/0186dx
113	Shibata	Q6458446		P19	place of birth	birthPlace	America	Q30	/m/09c7w0
114	Condoleezza Rice	Q47216	/m/014vk4	P69	educated at		White House	Q2566904	
115	Theodor Herzl	Q44003	/m/0qlp_	P27	country of citizenship	nationality	Haifa	Q41621	/m/0fg1g
116	Chaim Weizmann	Q172183	/m/019x_p	P69	educated at		Israel	Q6086734	
117	David Ben-Gurion	Q37610	/m/0hspy	P27	country of citizenship	nationality	Mount Carmel	Q6024929	
118	David Ben-Gurion	Q37610	/m/0hspy	P69	educated at		Mount Carmel	Q6024929	
119	Martin Robinson	Q6776477		P54	member of sports team		IGN	Q1665102	/m/0bqm6r
120	Matt Murley	Q4351828	/m/0cjlx_	P54	member of sports team		Oji Eagles	Q385099	/m/026b29y
121	Khabarovsk	Q4454	/m/0fmxx	P1376	capital of		NLB	Q8421490	
122	Eleanor Holmes Norton	Q461649	/m/01s_vp	P69	educated at		House of Representatives	Q1138354	
123	Berrien County	Q167656	/m/0njvn	P47	shares border with		Michigan	Q6030252	
124	Pendleton County	Q490903	/m/0mlgb	P47	shares border with		Pendleton County	Q490903	/m/0mlgb
125	Table Mountain	Q213360	/m/0m5sp	P131	located in the administrative territorial entity		Victoria Land	Q208965	/m/02rr_q
126	Yokohama	Q1205910	/m/02x21t	P47	shares border with		Japan	Q3476248	
127	Zhoukoudian	Q13659137		P150	contains administrative territorial entity		Great Wall	Q12501	/m/0d2dq0
128	Shangdu	Q1305772	/m/04my559	P150	contains administrative territorial entity		Mongolia	Q711	/m/04w8f
129	Sun Yat-sen	Q8573	/m/0m56y	P27	country of citizenship	nationality	Nanjing	Q16666	/m/05gqy
130	Sun Yat-sen	Q8573	/m/0m56y	P69	educated at		Nanjing	Q16666	/m/05gqy
131	Huairou District	Q121911	/m/06zqs6	P150	contains administrative territorial entity		Xishan	Q14053880	
132	Shanxi	Q46913	/m/0kzcv	P47	shares border with		Shandong	Q43407	/m/0qb0j
133	Shanxi	Q46913	/m/0kzcv	P150	contains administrative territorial entity		Shandong	Q43407	/m/0qb0j
134	Miyun	Q1022269	/m/06zqx1	P150	contains administrative territorial entity		Yanqing	Q596545	/m/06zqyy
135	Beihai	Q210365	/m/021x9z	P150	contains administrative territorial entity		Shichahai	Q1136851	/m/0280b7v
136	Sichuan	Q19770	/m/0hbbx	P47	shares border with		Qingdao	Q170322	/m/01l3s0
137	Kowloon	Q239143	/m/01c708	P47	shares border with		Harbin	Q42956	/m/0123gq
138	Kowloon	Q239143	/m/01c708	P150	contains administrative territorial entity		Harbin	Q42956	/m/0123gq
139	Beijing Railway Station	Q285141	/m/03d7fp	P131	located in the administrative territorial entity		Beijing South Railway Station	Q4881188	
140	Amur	Q6862	/m/0ftyw	P17	country		Huairou District	Q121911	/m/06zqs6
141	South China Sea	Q37660	/m/0jtm8	P17	country		China	Q10956965	
142	South China Sea	Q37660	/m/0jtm8	P47	shares border with		China	Q10956965	
143	Shiga Prefecture	Q131358	/m/018jhx	P47	shares border with		Japan	Q3476248	
144	Surinam	Q730	/m/06nnj	P47	shares border with		London	Q23306	/m/036wy
145	Surinam	Q730	/m/06nnj	P150	contains administrative territorial entity		London	Q23306	/m/036wy
146	Okinawa	Q328615	/m/0gp71x	P47	shares border with		South Korea	Q884	/m/06qd3
147	Hjelmeland	Q250055	/m/0186h5	P47	shares border with		Norway	Q7060816	
148	Trento	Q627320	/m/061x9c	P47	shares border with		Berlin	Q20144232	
149	Cameroon	Q1009	/m/01nln	P47	shares border with		Republic of the Congo	Q618399	/m/03cgg6r
150	Cameroon	Q1009	/m/01nln	P150	contains administrative territorial entity		Republic of the Congo	Q618399	/m/03cgg6r
151	Lake Tahoe	Q169962	/m/011ll4	P131	located in the administrative territorial entity		West Africa	Q4412	/m/0hqjh
152	Fiji	Q712	/m/02wt0	P150	contains administrative territorial entity		Philippines	Q928	/m/05v8c
153	Robert Louis Stevenson	Q1512	/m/06lbp	P69	educated at		Treasure Island	Q1360313	/m/033ntf
154	Barbados	Q244	/m/0162v	P150	contains administrative territorial entity		United States	Q30	/m/09c7w0
155	Ogdensburg	Q684406	/m/0y7fy	P131	located in the administrative territorial entity		New York	Q60	/m/02_286
156	Greater London	Q23939248		P150	contains administrative territorial entity		England	Q79282	/m/07ltmv
157	North Hollywood	Q1319697	/m/0284jb	P47	shares border with		California	Q2933963	/m/025xzfp
158	Bachar Chbib	Q2886755	/m/0hrf6gz	P69	educated at		Montreal	Q3476697	
159	Random House	Q744182	/m/018_d0	P17	country		Munich	Q1300313	/m/0ynqb
160	Hadrian	Q1427	/m/03jxc	P27	country of citizenship	nationality	Aelia Capitolina	Q1250874	/m/0_wg
161	Sisak-Moslavina County	Q57060	/m/02bz44	P47	shares border with		Croatia	Q16952783	
162	Zagreb County	Q27038	/m/02bz1c	P47	shares border with		Kingdom of Croatia-Slavonia	Q533558	/m/08t9sy
163	Joseph Barbera	Q190373	/m/0488g9	P69	educated at		NBC	Q13974	/m/05gnf
164	International Bar Association	Q763532	/m/0dpbc5	P131	located in the administrative territorial entity		Fiji	Q712	/m/02wt0
165	Susan Mernit	Q7648177		P69	educated at		Palo Alto	Q4274514	
166	Monona County	Q485478	/m/0nrtx	P47	shares border with		Iowa	Q2238109	/m/0tj_r
167	Terschelling	Q204412	/m/0vhz2	P47	shares border with		Netherlands	Q16250490	
168	Harlingen	Q2536628		P47	shares border with		Netherlands	Q16250490	
169	Deux-Montagnes Regional County Municipality	Q1206594	/m/0304zr	P150	contains administrative territorial entity		Montreal	Q3476697	
170	DuPage County	Q109626	/m/0nvrd	P47	shares border with		Army Trail Road	Q1034824	
171	Edmund Capon	Q5339363		P69	educated at		Art Gallery of New South Wales	Q705551	/m/06kgj1
172	St. Lucia	Q760	/m/06s0l	P150	contains administrative territorial entity		Grenada	Q3116419	
173	Vistula Lagoon	Q5605	/m/02lysz	P17	country		Baltic Sea	Q545	/m/01522
174	Bracciano	Q241791	/m/03zyhn	P47	shares border with		Rome	Q567806	/m/02j20d
175	Trevignano Romano	Q243497	/m/05yfpk	P47	shares border with		Rome	Q567806	/m/02j20d
176	Moldavia	Q21095978		P17	country		Transylvania	Q39473	/m/07l75
177	Albany County	Q108408	/m/0dcdp	P47	shares border with		Wyoming	Q8040291	
178	Ambalam	Q4740965		P131	located in the administrative territorial entity		Kovil	Q4225788	
179	Catatumbo River	Q1948210	/m/0cn1vs	P17	country		Escalante River	Q5396814	
180	Osaka Prefecture	Q122723	/m/018jcq	P47	shares border with		Japan	Q3476248	
181	Gulf of Thailand	Q131217	/m/01c4dz	P17	country		Sea of Japan	Q27092	/m/0g3nc
182	Todd Haynes	Q446580	/m/022wxh	P69	educated at		PBS	Q215616	/m/05xbx
183	Lloseta	Q847317	/m/0g72r_	P47	shares border with		Majorca	Q3843610	
184	Maki	Q14775521		P69	educated at		Tokyo	Q7473516	
185	Weinan	Q126995	/m/02675pv	P150	contains administrative territorial entity		China	Q10956965	
186	Luoyang	Q187136	/m/0166dk	P1376	capital of		Weinan	Q126995	/m/02675pv
187	Xuzhou	Q57719	/m/03q_m_	P150	contains administrative territorial entity		Lanzhou	Q183584	/m/01l3n7
188	Liberty County	Q487692	/m/0nz9t	P47	shares border with		Bryan County	Q491616	/m/0my9z
189	Saco	Q963277	/m/0x39x	P131	located in the administrative territorial entity		Maine	Q3708887	
190	Paul Desmarais	Q3371061	/m/01xkz2	P69	educated at		Illinois	Q1204	/m/03v0t
191	Hagfors Municipality	Q511407	/m/0zwvs	P47	shares border with		Sweden	Q7654280	
192	Dasht Rural District	Q5680686		P131	located in the administrative territorial entity		Ardabil Province	Q134228	/m/029mt3
193	North Holland	Q701	/m/0fqyc	P47	shares border with		Schagen	Q19508239	
194	San Marco Evangelista	Q58849	/m/0gn0t7	P47	shares border with		San Prisco	Q58883	/m/0gm_nt
195	Juneau County	Q502222	/m/0mkw7	P47	shares border with		Wisconsin	Q8027102	
196	BP	Q152057	/m/0k5b5	P17	country		Royal Dutch Shell	Q154950	/m/0g5vy
197	Chuck Cabot	Q11877681		P69	educated at		Mexico	Q82112	/m/01gfhk
198	Antofagasta	Q3612	/m/03n6h_	P131	located in the administrative territorial entity		Antofagasta	Q3612	/m/03n6h_
199	Stalingrad	Q1418821	/m/02j7wv	P131	located in the administrative territorial entity		Soviet Union	Q15180	/m/05vz3zq
200	Vasily Zaytsev	Q183381	/m/01lsv7	P27	country of citizenship	nationality	Red Army	Q251395	/m/06dr9
201	Gilad Shalit	Q214821	/m/0f1bm9	P27	country of citizenship	nationality	Gaza	Q47492	/m/0fdkl
202	Ralls County	Q259095	/m/0ndnh	P47	shares border with		Missouri	Q19346959	
203	Palm Beach County	Q484294	/m/0jrxx	P47	shares border with		Florida	Q2548194	/m/05q8rtt
204	Ray Oyler	Q7297921		P54	member of sports team		Tigers	Q18648686	
205	Mickey Lolich	Q6838697		P54	member of sports team		Tigers	Q18648686	
206	Tupi	Q174055	/m/06rd3w	P47	shares border with		Rio Grande	Q5595345	
207	Kim Pyung-seok	Q491645	/m/04n27cm	P54	member of sports team		K League	Q482403	
208	Espoo	Q47034	/m/0c75w	P47	shares border with		Finland	Q5450446	
209	Espoo	Q47034	/m/0c75w	P150	contains administrative territorial entity		Finland	Q5450446	
210	Sochi	Q39420	/m/0m465	P47	shares border with		Russia	Q3708651	
211	Sochi	Q39420	/m/0m465	P150	contains administrative territorial entity		Russia	Q3708651	
212	Ohio County	Q500663	/m/0nmtc	P47	shares border with		Wheeling Park High School	Q7992310	
213	Montgomery McFate	Q6905752		P69	educated at		Iraq	Q796	/m/0d05q4
214	Michael T. Flynn	Q6834757	/m/09v12g0	P69	educated at		Intel	Q248	/m/03s7h
215	Georges Aperghis	Q1355279	/m/04vcbq	P27	country of citizenship	nationality	Greece	Q17077105	
216	Woodford Green	Q2679243		P131	located in the administrative territorial entity		Woodford Bridge	Q11038311	
217	Dalian	Q74881	/m/01l3k6	P150	contains administrative territorial entity		Zhengzhou	Q30340	/m/01q9zs
218	Alexey Brodovitch	Q525387	/m/0bq1td	P27	country of citizenship	nationality	Civil Rights Movement	Q19799199	
219	Burgenland	Q43210	/m/0p99b	P47	shares border with		Austria	Q4825411	
220	Burgenland	Q43210	/m/0p99b	P150	contains administrative territorial entity		Austria	Q4825411	
221	Campobasso	Q3497	/m/0kn6s	P47	shares border with		Italy	Q3708720	
222	Campobasso	Q3497	/m/0kn6s	P1376	capital of		Italy	Q3708720	
223	Church of Scientology	Q1820380		P17	country		Google	Q95	/m/045c7b
224	Lane County	Q495409	/m/0mx5p	P47	shares border with		Oregon	Q7101029	
225	Jane Ellen Harrison	Q437675	/m/02bdfq	P69	educated at		Pandora	Q441279	/m/03ff9w
226	Baker County	Q109665	/m/0mxj4	P47	shares border with		Oregon	Q7101029	
227	Neubrandenburg	Q3958	/m/0ytxr	P1376	capital of		East	Q2035655	
228	Polillo	Q104011	/m/0495vd	P47	shares border with		Quezon	Q104020	/m/06rbzx
229	Shariatpur District	Q253007	/m/07014h	P47	shares border with		Dhaka	Q5268709	
230	James Harris Simons	Q560847	/m/07cjwm	P69	educated at		Renaissance Technologies	Q3424738	
231	Cleveland County	Q484603	/m/0my7f	P47	shares border with		North Carolina	Q1454	/m/05fkf
232	Stanley Smith Stevens	Q1365870	/m/0hf6c	P69	educated at		Harvard	Q1587876	/m/0v02y
233	Ogden	Q541950		P47	shares border with		Utah	Q829	/m/07srw
234	Kola	Q154704	/m/0fqkht	P1376	capital of		Finnmark	Q6963192	
235	Chandpur District	Q1429697	/m/06jp03	P47	shares border with		Chittagong	Q376749	/m/021j38
236	Juan Carlos Osorio	Q3298076	/m/027pb6m	P69	educated at		El Salvador	Q4531398	
237	Ionian Islands	Q170295		P150	contains administrative territorial entity		Ithaca	Q217346	/m/03v_5
238	Robin Lane Fox	Q1225832	/m/08t4d6	P69	educated at		Sicily	Q4951156	/m/06w92
239	Ustica	Q192129	/m/01fc8y	P131	located in the administrative territorial entity		Sicily	Q4951156	/m/06w92
240	Samuel Butler	Q7411026		P69	educated at		Sicily	Q4951156	/m/06w92
241	Bay of Fundy	Q181857	/m/0hm3l	P17	country		Caribbean	Q664609	/m/0261m
242	Bay of Fundy	Q181857	/m/0hm3l	P131	located in the administrative territorial entity		Caribbean	Q664609	/m/0261m
243	Taxiarchis Fountas	Q5307758	/m/0j630xh	P54	member of sports team		Super League	Q1142995	/m/03lbl3
244	Michel Chevalier	Q3309263		P54	member of sports team		Parliament	Q1892425	/m/0txvhh6
245	William Gladstone	Q7529606		P69	educated at		Board of Trade	Q887543	/m/02n3cy
246	Llandudno	Q996492	/m/01zkg4	P131	located in the administrative territorial entity		Llandudno	Q996492	/m/01zkg4
247	Lindesberg Municipality	Q514858	/m/0zvmp	P131	located in the administrative territorial entity		Sweden	Q7654280	
248	Lindesberg Municipality	Q514858	/m/0zvmp	P47	shares border with		Sweden	Q7654280	
249	Homer Hitt	Q5890074		P69	educated at		University of New Orleans	Q1474157	/m/035ktt
250	Shawano County	Q500838	/m/0mkjc	P47	shares border with		Wisconsin	Q8027102	
251	French Guiana	Q3769	/m/02x21	P47	shares border with		Suriname	Q19901436	
252	French Guiana	Q3769	/m/02x21	P150	contains administrative territorial entity		Suriname	Q19901436	
253	Bielsko County	Q1340564	/m/0h1h08	P47	shares border with		Poland	Q7208881	
254	Bielsko County	Q1340564	/m/0h1h08	P150	contains administrative territorial entity		Poland	Q7208881	
255	Roger Zelazny	Q295406	/m/09dt7	P69	educated at		West End	Q16919553	
256	Marin County	Q108117	/m/0l2hf	P47	shares border with		California	Q2933963	/m/025xzfp
257	Irish Sea	Q41735	/m/012815	P17	country		Larne	Q935686	/m/026_9_
258	La Sarre	Q141933	/m/057l4j	P47	shares border with		Canadian Armed Forces	Q644943	/m/018zqj
259	George Halas	Q163908	/m/02z0ck	P54	member of sports team		Dallas Cowboys Cheerleaders	Q1157992	
260	Gelderland	Q775	/m/0fqxw	P47	shares border with		Netherlands	Q16250490	
261	Edson Elcock	Q5340305		P54	member of sports team		West Virginia Chaos	Q4019106	
262	Firenze	Q2044	/m/031y2	P1376	capital of		Giunti Editore	Q636233	
263	Glenn Gelderbloom	Q3108789		P54	member of sports team		Leon Lloyd	Q3229646	
264	Edward Stanhope	Q5345405		P69	educated at		Privy Council	Q683120	/m/063g9
265	Rose Simmonds	Q24070480		P27	country of citizenship	nationality	Islington	Q6084318	
266	Ryan Dickson	Q3453767		P54	member of sports team		Plymouth	Q16302785	
267	Abd al-Rahman	Q69326	/m/06qqjp	P27	country of citizenship	nationality	Morocco	Q2374422	/m/0sp2m
268	Amboise	Q205116	/m/01jvvc	P131	located in the administrative territorial entity		England	Q79282	/m/07ltmv
269	Amboise	Q205116	/m/01jvvc	P47	shares border with		England	Q79282	/m/07ltmv
270	San Mateo	Q106832	/m/03m9zt	P47	shares border with		California	Q2933963	/m/025xzfp
271	West Feliciana Parish	Q512993	/m/0p418	P47	shares border with		Louisiana	Q6689059	
272	Admiralty Islands	Q119230	/m/01b0vv	P17	country		Sulawesi	Q19558885	
273	Kunvald	Q1756946	/m/0fl96r	P47	shares border with		Bohemia	Q3468957	/m/0y82s
274	Lake Tanganyika	Q5511	/m/016r7l	P17	country		Kigoma	Q244509	/m/06kxxf
275	Mykolayiv	Q41572	/m/03n7hk	P131	located in the administrative territorial entity		Melitopol	Q33349	/m/05crgp
276	Slavonice	Q1727398	/m/07z1s7	P47	shares border with		Chrudim	Q986070	/m/03vmb4
277	Nymburk	Q430864	/m/04s6px	P47	shares border with		Prague	Q1953283	/m/0z77l
278	Robert Crosser	Q1796439		P27	country of citizenship	nationality	Ohio	Q927274	
279	Robert Crosser	Q1796439		P69	educated at		Ohio	Q927274	
280	Gambier	Q186430		P131	located in the administrative territorial entity		Ohio	Q927274	
281	Eduardo Saverin	Q312663	/m/076zfg8	P27	country of citizenship	nationality	Facebook	Q380	/m/0hmyfsv
282	Benelux	Q13116	/m/01bry	P47	shares border with		Denmark	Q115534	/m/02qpls0
283	William Black	Q1770364		P27	country of citizenship	nationality	Thule	Q24065299	
284	John Crawley	Q3567869		P69	educated at		Sussex	Q7649387	
285	Casablanca-Settat	Q19843788		P150	contains administrative territorial entity		Morocco	Q2374422	/m/0sp2m
286	Jeff Pendergraph	Q2620577	/m/06w4yp0	P54	member of sports team		NBA	Q155223	/m/05jvx
287	Barajas Airport	Q166276	/m/0pkrj	P131	located in the administrative territorial entity		Bilbao Airport	Q598197	/m/094q2b
288	Edward Akufo-Addo	Q50989	/m/04nzkv	P69	educated at		Ghana	Q5555330	
289	Delbert Mann	Q270038	/m/044nwp	P69	educated at		New York	Q60	/m/02_286
290	Odoardo Farnese	Q2542756	/m/04y9j6	P19	place of birth	birthPlace	Bologna	Q530240	/m/05b0gf8
291	Mura	Q16722		P47	shares border with		Rome	Q567806	/m/02j20d
292	Warsaw West County	Q927212	/m/0dmcdf	P47	shares border with		Poland	Q7208881	
293	Warsaw West County	Q927212	/m/0dmcdf	P150	contains administrative territorial entity		Poland	Q7208881	
294	Ted Baker	Q7692974		P54	member of sports team		Chanel	Q218115	/m/036rkh
