	doc_id	sent_id	sent	subj	subj_begin	subj_end	subj_tag	rel	obj	obj_begin	obj_end	obj_tag
15	33680469	14	Shuyang Town -LRB- Chinese : 淑阳镇 -RRB- is a township-level division situated in Xianghe County , Langfang , Hebei , China .	Xianghe County	80	94	LOCATION	P150	Hebei	108	113	LOCATION
16	33680469	14	Shuyang Town -LRB- Chinese : 淑阳镇 -RRB- is a township-level division situated in Xianghe County , Langfang , Hebei , China .	Langfang	97	105	LOCATION	P150	China	116	121	LOCATION
17	26162278	15	The SAS Frösundavik Office Building is an office building in Frösundavik -LRB- SV -RRB- , Solna Municipality , Sweden , north of Stockholm .	Solna Municipality	90	108	LOCATION	P47	Sweden	111	117	LOCATION
18	26162278	16	SAS intended to build its head office in the lake Brunnsviken area , near an exit to Stockholm Arlanda Airport .	Brunnsviken	50	61	LOCATION	P131	Stockholm Arlanda Airport	85	110	LOCATION
19	194961	17	Gallagher was born in Longsight , Manchester , the son of Irish parents Peggy and Thomas Gallagher .	Longsight	22	31	LOCATION	P131	Manchester	34	44	LOCATION
20	194961	18	But in recent interviews for Dig Out Your Soul regarding religion , he stated `` See , I do n't know what I am .  If I was an atheist I 'd just write songs about not believing in God -- but I do n't know what I am . ''  In 2008 , it was announced that Gallagher would sell his home in Ibiza located near fellow musician James Blunt 's , saying while in Los Angeles on the Russell Brand BBC Radio 2 show that he `` ca n't stand living there in the knowledge that Blunt is nearby making terrible music '' .	James Blunt	320	331	PERSON	P69	Los Angeles	353	364	LOCATION
21	3530903	19	Remnants of the Bohemian Brethren visited Steinmetz and he mentored and counseled them , thus preparing the revival among them . Steinmetz 's role in the renewal of the Moravian Church is praised in Zinzendorf 's Memoirs and he is considered to be the leader of the revival in Moravia according to an inscription in the Deaths Register of Bethlehem .	Moravian Church	169	184	ORGANIZATION	P17	Moravia	277	284	LOCATION
22	49853533	20	The festival is held to celebrate bountiful harvest of mangoes in the provinces .  Mangoes cultivated in Zambales particularly the Dinamulag variety of Carabao mangoes were cited as the world 's sweetest mangoes by Guinness World Records in 1995 and the country 's sweetest mangoes by the Department of Agriculture in 2013 .	Zambales	105	113	LOCATION	P150	Department of Agriculture	289	314	ORGANIZATION
23	26539409	21	Changliu Railway Station is a railway station of Hainan Eastern Ring Railway , serving the Changliu township , located in Hainan , People 's Republic of China .	Changliu	91	99	LOCATION	P150	Hainan	122	128	LOCATION
24	10959021	22	In doing so , he blazed the trail for much of the Old San Antonio Road .  During his expeditions , he named several Texas rivers , including the San Marcos River , the Guadalupe , the Medina , the Nueces , and the Trinity .	Old San Antonio Road	50	70	LOCATION	P131	San Marcos River	145	161	LOCATION
25	22427927	23	Dr. Joe Ben Wheat -LRB- 1916 -- 1997 -RRB- was an archaeologist , curator , teacher , and author known for his expertise on blanket weavings and textiles of the Navajo and other Indians in Arizona , New Mexico , and Colorado .	Joe Ben Wheat	4	17	PERSON	P69	Arizona	189	196	LOCATION
26	3223576	24	Each mayor selects three local land use leaders who serve as advisers on that mayor 's team .  Past fellows have included Kansas City Mayor Sly James , Nashville Mayor Karl Dean , Philadelphia Mayor Michael Nutter , and Omaha Mayor Jean Stothert .	Sly James	140	149	PERSON	P69	Nashville	152	161	LOCATION
27	3223576	24	Each mayor selects three local land use leaders who serve as advisers on that mayor 's team .  Past fellows have included Kansas City Mayor Sly James , Nashville Mayor Karl Dean , Philadelphia Mayor Michael Nutter , and Omaha Mayor Jean Stothert .	Karl Dean	168	177	PERSON	P69	Philadelphia	180	192	LOCATION
28	3223576	25	The Urban Land Institute J.C. Nichols Prize for Visionaries in Urban Development is an annual award given to an individual -LRB- or an institution 's representative -RRB- who has made a career commitment to responsible land development .  The Nichols Prize was established in 2000 , in honor of the legendary and influential 20th-century land developer , Jesse Clyde Nichols of Kansas City , Missouri .	Jesse Clyde Nichols	355	374	PERSON	P69	Kansas City	378	389	LOCATION
29	8848895	26	Deals Gap -LRB- el .  1,988 ft -LRB- 606 m -RRB- -RRB- is a mountain pass along the North Carolina -- Tennessee state line , bordering the Great Smoky Mountains National Park and near the Little Tennessee River .	Great Smoky Mountains National Park	139	174	LOCATION	P131	Little Tennessee River	188	210	LOCATION
30	14595699	27	Jim Webb Sings Jim Webb is the debut album by American singer-songwriter Jimmy Webb , released in 1968 on Epic Records .	Jimmy Webb	73	83	PERSON	P54	Epic Records	106	118	ORGANIZATION
31	47192243	28	Taytay LRT Station is one of two proposed stations along the planned Manila Light Rail Transit System Line 4 -LRB- LRT-4 -RRB- in Taytay , Rizal , Philippines .	Taytay	130	136	LOCATION	P47	Rizal	139	144	LOCATION
32	6030154	29	The alleged invention of the fabric , around 1300 , by a weaver called Baptiste or Jean-Baptiste Cambray or Chambray , from the village of Castaing in the peerage of Marcoing , near Cambrai , has no historic ground .	Marcoing	166	174	LOCATION	P131, P47	Cambrai	182	189	LOCATION
33	661049	30	Another writer of the same site , Bill Thomas , gave the album 4 out of 5 .  `` Piss Up a Rope '' was released as a single by Elektra and features the tracks `` You Were the Fool '' and `` So Long , Jerry '' -LRB- a tribute to Jerry Garcia , recorded during the 12 Golden Country Greats sessions but not used on the album . -RRB-	Bill Thomas	34	45	PERSON	P69	Elektra	126	133	ORGANIZATION
34	15510162	31	The Galilee Panhandle incorporates five municipal authorities .  Towns in the Galilee Panhandle include Metula and Kiryat Shmona .	Metula	104	110	LOCATION	P17	Kiryat Shmona	115	128	LOCATION
35	27510571	32	Fontoria de Cepeda is a small city located in the municipality of Villamejil , in the province of León , Castile and León , northern Spain .	Villamejil	66	76	LOCATION	P47	Castile	105	112	LOCATION
36	21475445	33	He did not contest the 1943 general election . McDevitt 's grandson is Mark Reckless , former MP for Rochester and Strood in the UK Parliament .	Mark Reckless	71	84	PERSON	P69	Rochester	101	110	LOCATION
37	47219631	34	Under supervision of Samuel S. Wilks , he then earned a Ph.D. in mathematical statistics from Princeton in 1944 .	Samuel S. Wilks	21	36	PERSON	P69	Princeton	94	103	ORGANIZATION
38	602638	35	He has been the crossword puzzle editor for The New York Times since 1993 -LRB- the fourth in the paper 's history , following Eugene Thomas Maleska -RRB- , and has been the puzzle master on NPR 's Weekend Edition Sunday since the program was started in 1987 .	Eugene Thomas Maleska	127	148	PERSON	P69	NPR	191	194	ORGANIZATION
39	58822	36	He was involved in the following fresco projects : Another picture in the same collection appears to be a replica of his painting of the `` Allegory of Calumny '' , as suggested by Lucian 's description of a celebrated work by Apelles ; the satire in the original painting , directed against some of his courtier enemies , was the immediate cause of Zuccari 's temporary exile from Rome .	Lucian	181	187	PERSON	P19	Rome	382	386	LOCATION
40	3876176	37	Notre Dame de Lorette , also known as Ablain St.-Nazaire French Military Cemetery , is the world 's largest French military cemetery .  It is the name of a ridge , basilica , and French national cemetery northwest of Arras at the village of Ablain-Saint-Nazaire .	Arras	217	222	LOCATION	P131, P47, P1376	Ablain-Saint-Nazaire	241	261	LOCATION
41	3876176	38	The high point of the hump-backed ridge stands 165 metres high and -- with Vimy Ridge -- utterly dominates the otherwise flat Douai plain and the town of Arras .	Douai	126	131	LOCATION	P131, P47, P1376	Arras	154	159	LOCATION
42	4959510	39	Brehna is a town and a former municipality in the district of Anhalt-Bitterfeld , in Saxony-Anhalt , Germany .	Anhalt-Bitterfeld	62	79	LOCATION	P47	Germany	101	108	LOCATION
43	4959510	39	Brehna is a town and a former municipality in the district of Anhalt-Bitterfeld , in Saxony-Anhalt , Germany .	Saxony-Anhalt	85	98	LOCATION	P47, P150	Germany	101	108	LOCATION
44	88295	40	Below are more detailed description of habitats occupied by golden eagles in both continents where they occur .  In the Arctic fringe of the great continent , golden eagles occur along the edge of the tundra and the taiga from the Kola peninsula to Anadyr in eastern Siberia , nesting in forests and hunting over nearby arctic heathland .	Anadyr	249	255	LOCATION	P1376	Siberia	267	274	LOCATION
45	88295	41	Here the climate is colder and more continental than around the Mediterranean .  Golden eagles occupy the alpine ranges from the Altai Mountains and the Pamir Mountains to Tibet , in the great Himalayan massif , and northwestern China , where they occupy the Tien Shan range .	Pamir Mountains	153	168	LOCATION	P17	Tibet	172	177	LOCATION
46	2975	42	The project was a blow to Yuri Andropov 's so-called `` peace offensive '' . Andropov said that `` It is time they -LSB- Washington -RSB- stopped ... search -LSB- ing -RSB- for the best ways of unleashing nuclear war ... Engaging in this is not just irresponsible .	Yuri Andropov	26	39	PERSON	P27	Washington	121	131	LOCATION
47	25732731	43	Omer St. Germain -LRB- 13 September 1877 -- 11 February 1949 -RRB- was a barrister , solicitor , notary , publisher and a provincial politician from Canada .  He served as the first mayor of Morinville , Alberta , and became a perennial candidate in Alberta elections hold office as a member of the Legislative Assembly of Alberta from 1930 to 1935 sitting with the United Farmers first and crossing the floor to the Liberals .	Morinville	191	201	LOCATION	P47	Alberta	204	211	LOCATION
48	25732731	43	Omer St. Germain -LRB- 13 September 1877 -- 11 February 1949 -RRB- was a barrister , solicitor , notary , publisher and a provincial politician from Canada .  He served as the first mayor of Morinville , Alberta , and became a perennial candidate in Alberta elections hold office as a member of the Legislative Assembly of Alberta from 1930 to 1935 sitting with the United Farmers first and crossing the floor to the Liberals .	Morinville	191	201	LOCATION	P47	Alberta	250	257	LOCATION
49	31465819	44	Athanasius was born to Mr. K.T.Thomas and Mrs. Aleyamma Thomas on the 3rd of April , 1938 in Kizhakkethalackal family at Puthencavu , Chengannur , Alappuzha Dist .	Puthencavu	121	131	LOCATION	P131	Chengannur	134	144	LOCATION
50	31465819	45	Hundreds of Athanasius 's `` children '' are doctors , engineers , teachers , architects , researchers and varied professionals .  He organised congregations in western India such as Andheri and Bandra in Maharashtra ; Udaipur in Rajasthan ; Vapi , Balsar , Surat , Baruch , Anand , Bhavnagar , Mehsana , Rajkot , Porbandar and Veravel in Gujarat .	Bandra	195	201	LOCATION	P131	Udaipur	219	226	LOCATION
51	31465819	45	Hundreds of Athanasius 's `` children '' are doctors , engineers , teachers , architects , researchers and varied professionals .  He organised congregations in western India such as Andheri and Bandra in Maharashtra ; Udaipur in Rajasthan ; Vapi , Balsar , Surat , Baruch , Anand , Bhavnagar , Mehsana , Rajkot , Porbandar and Veravel in Gujarat .	Mehsana	295	302	LOCATION	P131	Porbandar	314	323	LOCATION
52	2652743	46	It was applied to many relatively modest dwellings by architects such as William Burn -LRB- 1789 -- 1870 -RRB- , David Bryce -LRB- 1803 -- 76 -RRB- , Edward Blore -LRB- 1787 -- 1879 -RRB- , Edward Calvert -LRB- c. 1847 -- 1914 -RRB- and Robert Stodart Lorimer -LRB- 1864 -- 1929 -RRB- and in urban contexts , including the building of Cockburn Street in Edinburgh -LRB- from the 1850s -RRB- as well as the National Wallace Monument at Stirling -LRB- 1859 -- 69 -RRB- .	Robert Stodart Lorimer	237	259	PERSON	P69	Edinburgh	354	363	LOCATION
53	2652743	47	The mansion has battlements and towers , along with modern plumbing and other conveniences .  Another Canadian example is the Banff Springs Hotel in the Banff National Park in Alberta , Canada .	Banff National Park	153	172	LOCATION	P131	Alberta	176	183	LOCATION
54	22693449	48	Actress and artist Yma Sumac was born in Ichocán , according to some sources ; other sources cite her place of birth as Callao .	Yma Sumac	19	28	PERSON	P27	Callao	120	126	LOCATION
55	9126496	49	Pearl S. Buck wrote about the Vineland Training School and her daughter 's experience in 1950 for the Reader 's Digest and Ladies Home Journal in an article entitled `` The Child Who Never Grew '' .	Pearl S. Buck	0	13	PERSON	P69	Vineland Training School	30	54	ORGANIZATION
56	8719478	50	Chalco , an unincorporated area southwest of Omaha in northern Sarpy County , is also widely regarded as a part of west Omaha .	Sarpy County	63	75	LOCATION	P47	Omaha	120	125	LOCATION
57	9358517	69	Washington Township is one of the seventeen townships of Stark County , Ohio , United States .	Stark County	57	69	LOCATION	P47	Ohio	72	76	LOCATION
58	16950974	72	Donald Blaine Smith -LRB- born September 1947 -RRB- is the 53rd Sheriff of Putnam County , New York and a retired United States Army General .	Putnam County	75	88	LOCATION	P47	New York	91	99	LOCATION
59	8806410	82	Wedemeyer was born near Lima Township in Washtenaw County , Michigan .	Washtenaw County	41	57	LOCATION	P47	Michigan	60	68	LOCATION
60	5950067	86	He served as assistant director of aviation for Allegheny County , Pennsylvania , from 1940 to 1948 , and as manager of Allegheny County Airport from 1949 to 1956 .	Allegheny County	48	64	LOCATION	P47	Allegheny County Airport	120	144	LOCATION
61	19830796	89	Słubica A is a village in the administrative district of Gmina Żabia Wola , within Grodzisk Mazowiecki County , Masovian Voivodeship , in east-central Poland .	Masovian Voivodeship	112	132	LOCATION	P47	Poland	151	157	LOCATION
62	49354571	94	Three mining districts were organized in the Toiyabe Range in Esmeralda County , namely Marysville , Twin River , and Washington .	Esmeralda County	62	78	LOCATION	P47	Marysville	88	98	LOCATION
63	392367	111	The 30-year Eritrean War for Independence was an armed liberation struggle that lasted from 1961 to 1991 and is referred to by the Eritrean people as `` Gedli '' . Isaias became a part of the struggle in 1966 , when he abandoned his engineering studies in Addis Ababa and left for Kassala , Sudan , joining the Eritrean Liberation Front -LRB- ELF -RRB- in exile .	Addis Ababa	256	267	LOCATION	P1376	Kassala	281	288	LOCATION
64	25990956	112	Purchased in 1908 1915 - sold to Colonial Coal & Shipping Co. as Thysa later renamed Kostis 1934 - sold as Azbassein 1936 - sold to USSR as Georgi Dimitrov Built by J. Priestland , Sunderland as Constantinos XII ; then Ionia , then Nicos 1938 - Purchased by ETR and named Alex 1943 - sold to S. Casteli & Co. - no change of name 1946 - renamed Noemi 5 June 1958 - scrapped at Split Built by J. Priestland , Sunderland .	Georgi Dimitrov	140	155	PERSON	P54	Sunderland	181	191	ORGANIZATION
65	25990956	112	Purchased in 1908 1915 - sold to Colonial Coal & Shipping Co. as Thysa later renamed Kostis 1934 - sold as Azbassein 1936 - sold to USSR as Georgi Dimitrov Built by J. Priestland , Sunderland as Constantinos XII ; then Ionia , then Nicos 1938 - Purchased by ETR and named Alex 1943 - sold to S. Casteli & Co. - no change of name 1946 - renamed Noemi 5 June 1958 - scrapped at Split Built by J. Priestland , Sunderland .	Georgi Dimitrov	140	155	PERSON	P54	Sunderland	407	417	LOCATION
66	1058853	119	She lost to David Reville who went on to win the seat . Lankin was elected Member of Provincial Parliament -LRB- MPP -RRB- for the Toronto riding of Beaches -- Woodbine in the 1990 provincial election , succeeding Marion Bryden who retired from politics .	David Reville	12	25	PERSON	P69	Toronto	131	138	LOCATION
67	1058853	120	On November 30 , 2010 , the provincial government announced the appointment of Lankin and Munir Sheikh to lead the Commission for the Review of Social Assistance in Ontario .	Munir Sheikh	90	102	PERSON	P69	Ontario	165	172	LOCATION
68	14153629	121	Cedar Point is an unincorporated community in Union Township , White County , Indiana .	White County	63	75	LOCATION	P47	Indiana	78	85	LOCATION
69	92169	122	Tuscarawas County -LRB- TUS - kə - RAH - wəss -RRB- is a county located in the eastern part of the U.S. state of Ohio .	Tuscarawas County	0	17	LOCATION	P47	Ohio	113	117	LOCATION
70	92169	123	His report of the area hinted at some natural riches and friendly American Indians .  In 1761 Moravian missionaries set out from Bethlehem , Pennsylvania to set up a mission in the Tuscarawas Valley .	Bethlehem	129	138	LOCATION	P131	Pennsylvania	141	153	LOCATION
71	49795380	124	Sa'adatu Kande Balarabe was a Nigerian politician from Kano State .  She was among a trio of women elected into the Nigerian House of Representatives in 1983 .	Kano State	55	65	LOCATION	P47	House of Representatives	125	149	ORGANIZATION
72	42264568	125	Allium neriniflorum is an Asian species of wild onion native to Mongolia , the Zabaykalsky Krai region of Siberia , and northern China -LRB- Inner Mongolia , Hebei , Heilongjiang , Jilin , Liaoning -RRB- .	Zabaykalsky Krai	79	95	LOCATION	P47	Siberia	106	113	LOCATION
73	42264568	125	Allium neriniflorum is an Asian species of wild onion native to Mongolia , the Zabaykalsky Krai region of Siberia , and northern China -LRB- Inner Mongolia , Hebei , Heilongjiang , Jilin , Liaoning -RRB- .	Hebei	158	163	LOCATION	P47, P150	Heilongjiang	166	178	LOCATION
74	42264568	125	Allium neriniflorum is an Asian species of wild onion native to Mongolia , the Zabaykalsky Krai region of Siberia , and northern China -LRB- Inner Mongolia , Hebei , Heilongjiang , Jilin , Liaoning -RRB- .	Heilongjiang	166	178	LOCATION	P47, P150	Liaoning	189	197	LOCATION
75	36634500	126	William H. Nicholas -LRB- October 10 , 1892 -- August 13 , 1984 -RRB- was an American Republican politician in the state of Iowa .  Born in Butler County , Iowa to William A. Nicholas and Elizabeth H. Nicholas , Nicholas raised turkeys in Cerro Gordo County , Iowa and served in the United States Navy during World War I .	Butler County	140	153	LOCATION	P47	Iowa	156	160	LOCATION
76	36634500	126	William H. Nicholas -LRB- October 10 , 1892 -- August 13 , 1984 -RRB- was an American Republican politician in the state of Iowa .  Born in Butler County , Iowa to William A. Nicholas and Elizabeth H. Nicholas , Nicholas raised turkeys in Cerro Gordo County , Iowa and served in the United States Navy during World War I .	Butler County	140	153	LOCATION	P47	Iowa	260	264	LOCATION
77	32668689	127	After the war , the main base of operations for the Swedish navy was moved to the newly founded Karlskrona in Blekinge in southern Sweden , which was better suited to counter the threat of the Danish fleet , Sweden 's principal competition for Baltic supremacy .	Karlskrona	96	106	LOCATION	P1376	Blekinge	110	118	LOCATION
78	32668689	127	After the war , the main base of operations for the Swedish navy was moved to the newly founded Karlskrona in Blekinge in southern Sweden , which was better suited to counter the threat of the Danish fleet , Sweden 's principal competition for Baltic supremacy .	Blekinge	110	118	LOCATION	P47	Sweden	131	137	LOCATION
79	32668689	127	After the war , the main base of operations for the Swedish navy was moved to the newly founded Karlskrona in Blekinge in southern Sweden , which was better suited to counter the threat of the Danish fleet , Sweden 's principal competition for Baltic supremacy .	Blekinge	110	118	LOCATION	P47	Sweden	208	214	LOCATION
80	44165414	128	Grace Nail Johnson -LRB- February 27 , 1885 -- November 1 , 1976 -RRB- was a civil rights activist and patron of the arts , and wife of writer James Weldon Johnson . Grace Elizabeth Nail was born in New London , Connecticut , the daughter of real estate developer John Bennett Nail and his wife , Mary Frances Robinson .	James Weldon Johnson	143	163	PERSON	P69	New London	199	209	LOCATION
81	44165414	129	She was the only black member of Heterodoxy , a feminist group based in Greenwich Village . Nella Larsen recalled traveling with Grace Johnson in the South in 1932 , and passing as white patrons at a restaurant in Tennessee , as a `` stunt . ''	Nella Larsen	92	104	PERSON	P69	South	150	155	LOCATION
82	44165414	130	The couple lived in Corinto , Nicaragua in the first years of their marriage , before settling back in New York City , in Harlem .	Nicaragua	30	39	LOCATION	P47	New York City	103	116	LOCATION
83	26313428	131	It was entered into the 16th Berlin International Film Festival .  The film tells the story of a group of young people from Nanterre , a suburb to the west of Paris .	Nanterre	124	132	LOCATION	P131, P47, P1376	Paris	159	164	LOCATION
84	36682551	132	Allen observed the 1 October 1940 solar eclipse in South Africa and obtained important results on the solar corona , including measurements of its electron density which were to prove invaluable to radio astronomers . Allen accepted an invitation by Sir Harrie Massey in 1951 to become Perren professor of astronomy at University College , London , and director of the University of London Observatory , Mill Hill .	Harrie Massey	254	267	PERSON	P69	University College	319	337	ORGANIZATION
85	44071535	133	Ratio is an unincorporated community in Phillips County , Arkansas , in the United States .	Phillips County	40	55	LOCATION	P47	Arkansas	58	66	LOCATION
86	32732198	134	He was born at Cork in 1790 , and after taking holy orders in the Roman Catholic Church was appointed curate of the church of St. Peter and St. Paul in his native city .	St. Peter	126	135	LOCATION	P131	St. Paul	140	148	LOCATION
87	775859	135	Today , Ireland is made up of the Republic of Ireland -LRB- an independent state -RRB- , and the smaller Northern Ireland -LRB- a part of the United Kingdom -RRB- .	Republic of Ireland	34	53	LOCATION	P150	Northern Ireland	105	121	LOCATION
88	775859	136	Scotland takes its name from Scota , who in Irish mythology , Scottish mythology , and pseudohistory , is the name given to two different mythological daughters of two different Egyptian Pharaohs to whom the Gaels traced their ancestry , allegedly explaining the name Scoti , applied by the Romans to Irish raiders , and later to the Irish invaders of Argyll and Caledonia which became known as Scotland .	Caledonia	363	372	LOCATION	P131	Scotland	395	403	LOCATION
89	775859	137	Another Irish saint , Aidan of Lindisfarne , has been proposed as a possible patron saint of the United Kingdom , while Saints Kilian and Vergilius became the patron saints of Würzburg in Germany and Salzburg in Austria , respectively .	Lindisfarne	31	42	LOCATION	P131	United Kingdom	97	111	LOCATION
90	775859	138	After Ireland was subdued by England , the English - under James I of England -LRB- reigned 1603 -- 1625 -RRB- , the Lord Protector Oliver Cromwell -LRB- 1653 -- 1658 -RRB- , William III of England -LRB- reigned 1689 -- 1702 -RRB- and their successors -- began the settling of Protestant Scottish and English colonists into Ireland , where they settled most heavily in the northern province of Ulster .	William III	175	186	PERSON	P27	England	190	197	LOCATION
91	775859	139	The massive crowds were repeated at Pope John Paul II 's Mass in Phoenix Park in 1979 .	John Paul II	41	53	PERSON	P69	Phoenix Park	65	77	LOCATION
92	775859	140	An Irish-American , James Hoban , was the designer of the White House .	James Hoban	20	31	PERSON	P27	White House	58	69	ORGANIZATION
93	4199871	141	This was a major factor leading to the merger with Chip Ganassi Racing with Felix Sabates in November 2008 that formed Earnhardt Ganassi Racing .	Felix Sabates	76	89	PERSON	P27	Earnhardt Ganassi Racing	119	143	ORGANIZATION
94	18551559	142	Grit Lehmann -LRB- born August 1 , 1976 , in Berlin , Germany -RRB- is a professional female volleyball player , currently playing in the Swiss NLA team VC Kanti Schaffhausen .	Grit Lehmann	0	12	PERSON	P27	Berlin	45	51	LOCATION
95	2112037	143	To the east , the Saskatchewan River led to Lake Winnipeg and on to the French at Montreal or the English on Hudson Bay .	Saskatchewan River	18	36	LOCATION	P131	Montreal	82	90	LOCATION
96	10286635	144	According to Bud Cummins , one of the fired prosecutors and an Arkansas Republican , `` She was inexperienced , way too naïve and a little overzealous '' .	Bud Cummins	13	24	PERSON	P69	Arkansas	63	71	LOCATION
97	10286635	145	Goodling `` warned of potential political problems with Timothy Griffin 's interim appointment as U.S. Attorney for the Eastern District of Arkansas and underscored White House interest in getting it done . ''	Timothy Griffin	56	71	PERSON	P69	White House	165	176	LOCATION
98	1265165	146	The area known as the Loop is a section within downtown , surrounded by elevated tracks of the rapid transit network .  Many of downtown 's commercial , cultural , and financial institutions are located in the Loop .	Loop	22	26	LOCATION	P131	Loop	210	214	LOCATION
99	1265165	147	The West Side -LRB- extending west of downtown -RRB- is made up of neighborhoods such as Austin , Lawndale , Garfield Park , West Town , and Humboldt Park among others .	West Town	125	134	LOCATION	P131	Humboldt Park	141	154	LOCATION
100	13577646	148	* Senior club appearances and goals counted for the domestic league only and correct as of 5 August 2014 . Azman Adnan -LRB- born 1 November 1971 -RRB- is a former Malaysian footballer who last played for Negeri Sembilan FA before retiring .	Azman Adnan	107	118	PERSON	P54	Negeri Sembilan	205	220	ORGANIZATION
101	13577646	149	He has been an avid Selangor FA fan ever since he was kid .  His father was soldier from Kajang , Selangor and his mother are from Pedas , Negeri Sembilan .	Selangor	98	106	LOCATION	P47	Pedas	131	136	LOCATION
102	37747113	150	This castle was praised later by the poet Hartmann von Aue .  The Duke 's servants and craftsmen lived at the foot of the mountain in the area of what today is the southern part of the historic center , but it was only in 1120 when his son Konrad , with the approval of emperor Henry IV , granted the settlement market rights , thus ending the startup phase of Freiburg .	Henry IV	278	286	PERSON	P27, P19	Freiburg	361	369	LOCATION
103	37747113	151	Throughout history , fires and acts of war on several occasions destroyed the fortified buildings on castle hill , but the castle was rebuilt various times by the respective rulers because of its strategic importance for the protection of Freiburg and to control the access to the Black Forest and the Dreisam valley .	Freiburg	239	247	LOCATION	P47	Black Forest	281	293	ORGANIZATION
104	21669611	152	Nowiny -LSB- nɔˈvinɨ -RSB- -LRB- German : Neuhof -RRB- is a settlement in the administrative district of Gmina Sztum , within Sztum County , Pomeranian Voivodeship , in northern Poland .	Sztum County	126	138	LOCATION	P47, P150	Poland	178	184	LOCATION
105	21669611	152	Nowiny -LSB- nɔˈvinɨ -RSB- -LRB- German : Neuhof -RRB- is a settlement in the administrative district of Gmina Sztum , within Sztum County , Pomeranian Voivodeship , in northern Poland .	Pomeranian Voivodeship	141	163	LOCATION	P47	Poland	178	184	LOCATION
106	6787626	153	Bagaladi -LRB- Greek : Bagalades -RRB- is a comune -LRB- municipality -RRB- in the Province of Reggio Calabria in the Italian region Calabria , located about 120 kilometres -LRB- 75 mi -RRB- southwest of Catanzaro and about 15 kilometres -LRB- 9 mi -RRB- southeast of Reggio Calabria .	Reggio Calabria	95	110	LOCATION	P47	Calabria	133	141	LOCATION
